RepRapFirmware height map file v2 generated at 2022-05-12 16:41, min error -0.441, max error 0.034, mean -0.161, deviation 0.107
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-180.00,180.00,-80.00,80.00,-1.00,45.00,20.00,9,9
 -0.237, -0.248, -0.144, -0.092, -0.086, -0.094, -0.131, -0.134, -0.153
 -0.233, -0.211, -0.098, -0.050, -0.053, -0.075, -0.117, -0.148, -0.173
 -0.225, -0.177, -0.048,  0.000,  0.003, -0.019, -0.080, -0.167, -0.213
 -0.231, -0.169, -0.028,  0.034,  0.027, -0.009, -0.087, -0.186, -0.237
 -0.236, -0.161, -0.028,  0.025,  0.022, -0.028, -0.109, -0.208, -0.256
 -0.258, -0.191, -0.073, -0.009, -0.023, -0.069, -0.147, -0.245, -0.291
 -0.287, -0.228, -0.117, -0.067, -0.089, -0.127, -0.203, -0.287, -0.328
 -0.302, -0.253, -0.159, -0.125, -0.144, -0.191, -0.261, -0.339, -0.383
 -0.294, -0.275, -0.208, -0.183, -0.197, -0.250, -0.331, -0.397, -0.441
